frame,time
2073,92.529
2074,92.562
2075,92.626
2076,92.658
2077,92.723
2078,92.755
2079,92.820
2080,92.884
2081,92.916
2082,92.981
2083,93.013
2084,93.078
2085,93.110
2086,93.175
2087,93.207
2088,93.271
2089,93.336
2090,93.368
2091,93.433
2092,93.465
2093,93.529
2094,93.562
2095,93.626
2096,93.658
2097,93.723
2098,93.788
2099,93.820
2100,93.884
2101,93.917
2102,93.981
2103,94.013
2104,94.078
2105,94.110
2106,94.142
2107,94.175
2108,94.239
2109,94.271
2110,94.304
2111,94.336
2112,94.400
2113,94.433
2114,94.497
2115,94.530
2116,94.594
2117,94.659
2118,94.691
2119,94.755
2120,94.788
2121,94.852
2122,94.884
2123,94.949
2124,94.981
2125,95.046
2126,95.110
2127,95.142
2128,95.207
2129,95.239
2130,95.304
2131,95.336
2132,95.401
2133,95.433
2134,95.497
2135,95.562
2136,95.594
2137,95.659
2138,95.691
2139,95.723
